"","lat","lon","swflx","swflx.25","swflx.75","lwflx","lwflx.25","lwflx.75","sat","tdiff","time.rel","sza"
"1",79.218,6.107,NA,NA,NA,NA,NA,NA,"CERES",-3,-17,NA
"2",78.246,6.588,0,0,0,170.26213921441,169.03791809082,172.724594116211,"CERES",-3,-16,102.958514743381
"3",77.34,7.066,0,0,0,156.845904263583,154.004600524902,158.67603302002,"CERES",-2,-15,103.660622336648
"4",76.531,7.55,0,0,0,163.626552234996,157.863487243652,167.95304107666,"CERES",-1,-14,104.221717834473
"5",75.833,8.135,0,0,0,172.611072246845,169.48176574707,175.569732666016,"CERES",0,-13,104.763370807354
"6",75.19,8.812,0,0,0,169.938541118915,168.294326782227,172.19172668457,"CERES",1,-12,105.225329472468
"7",74.579,9.519,0,0,0,169.098805427551,167.129222869873,170.489624023438,"CERES",2,-11,105.614885807037
"8",73.982,10.246,0,0,0,174.869800343233,171.237655639648,178.201782226562,"CERES",3,-10,105.950577231014
"9",76.531,7.55,0,0,0,172.502923583984,170.504383087158,175.505672454834,"CERES",-3,-14,100.240823745728
"10",75.833,8.135,0,0,0,173.748161621094,171.20442199707,176.621459960938,"CERES",-2,-13,100.495151672363
"11",75.19,8.812,0,0,0,172.986439387004,170.954818725586,177.400775909424,"CERES",-1,-12,100.678373018901
"12",74.579,9.519,0,0,0,172.932452519735,169.784618377686,175.947254180908,"CERES",0,-11,100.825159072876
"13",73.982,10.246,0,0,0,176.87273089091,175.430187225342,178.559257507324,"CERES",1,-10,100.964537302653
"14",73.401,10.929,0,0,0,180.66620982777,177.833797454834,181.230598449707,"CERES",2,-9,101.076716336337
"15",72.843,11.563,0,0,0,182.832526397705,180.427154541016,183.887996673584,"CERES",3,-8,101.192350769043
"16",75.19,8.812,0,0,0,176.156222752162,175.545837402344,176.742706298828,"CERES",-3,-12,94.7896575927734
"17",74.579,9.519,0,0,0,174.574092320033,173.606014251709,175.636573791504,"CERES",-2,-11,94.7135015215192
"18",73.982,10.246,0,0,0,175.783167157854,172.990272521973,178.850486755371,"CERES",-1,-10,94.5272985185896
"19",73.401,10.929,0,0,0,180.52574412028,179.634780883789,181.313465118408,"CERES",0,-9,94.4607671101888
"20",72.843,11.563,0,0,0,183.804205322266,180.685478210449,187.158740997314,"CERES",1,-8,94.3385673522949
"21",72.312,12.163,0,0,0,189.0021548801,187.340682983398,190.578369140625,"CERES",2,-7,94.084971110026
"22",71.798,12.702,0,0,0,187.843461778429,185.974105834961,191.303253173828,"CERES",3,-6,94.0187106662326
"23",74.579,9.519,NA,NA,NA,178.844441731771,178.156753540039,179.855041503906,"CERES",-3,-11,88.3483649359809
"24",73.982,10.246,NA,NA,NA,178.699108547635,178.538238525391,179.104598999023,"CERES",-2,-10,87.8009923299154
"25",73.401,10.929,NA,NA,NA,179.935907363892,178.292896270752,181.214687347412,"CERES",-1,-9,87.5652875900269
"26",72.843,11.563,NA,NA,NA,180.235338846842,178.727611541748,181.263111114502,"CERES",0,-8,87.2501118977865
"27",72.312,12.163,NA,NA,NA,183.521343231201,182.080745697021,184.054752349854,"CERES",1,-7,86.8303890228271
"28",71.798,12.702,49.5158602396647,49.0859260559082,50.1479206085205,188.081822713216,185.075073242188,191.435333251953,"CERES",2,-6,86.6415812174479
"29",71.306,13.209,49.9911346435547,49.0859260559082,50.8608322143555,187.47381761339,186.519760131836,187.198547363281,"CERES",3,-5,86.2560509575738
"30",73.401,10.929,110.387042652477,108.678916931152,112.169727325439,183.165044611151,181.783790588379,184.627708435059,"CERES",-3,-9,81.6248051036488
"31",72.843,11.563,110.832413567437,109.048530578613,112.924293518066,186.257626003689,184.687133789062,187.485534667969,"CERES",-2,-8,81.1299319797092
"32",72.312,12.163,111.65583896637,107.705787658691,115.139614105225,185.044136047363,183.081176757812,187.287570953369,"CERES",-1,-7,80.531943321228
"33",71.798,12.702,116.206128120422,113.14923286438,119.406232833862,186.584823608398,185.374549865723,188.878219604492,"CERES",0,-6,80.1094675064087
"34",71.306,13.209,113.222158159528,109.828346252441,117.442321777344,191.635264805385,189.361457824707,193.305152893066,"CERES",1,-5,79.7326910836356
"35",70.844,13.724,116.420426177979,111.34729385376,121.085657119751,190.217063903809,186.361450195312,193.640941619873,"CERES",2,-4,79.291584777832
"36",70.383,14.214,121.98911520151,119.037612915039,127.466331481934,184.711097130409,179.087020874023,189.721633911133,"CERES",3,-3,78.7686063326322
"37",72.843,11.563,167.784206992701,163.175308227539,170.939361572266,192.15949048494,190.23851776123,193.653266906738,"CERES",-3,-8,76.9163505152652
"38",72.312,12.163,167.44830915663,160.923816680908,174.490684509277,195.17584821913,193.926692962646,196.25511932373,"CERES",-2,-7,76.3225949605306
"39",71.798,12.702,172.545217177447,161.579147338867,184.705139160156,193.07198378619,191.574935913086,194.879348754883,"CERES",-1,-6,75.7531787647921
"40",71.306,13.209,176.386452169979,167.008239746094,186.710205078125,190.099828383502,188.64778137207,192.778945922852,"CERES",0,-5,75.2853972491096
"41",70.844,13.724,170.894375801086,165.080368041992,176.763053894043,191.360466957092,188.949527740479,193.852405548096,"CERES",1,-4,74.777051448822
"42",70.383,14.214,171.404835001628,166.414848327637,174.237060546875,189.504497273763,183.814422607422,193.6279296875,"CERES",2,-3,74.2812993367513
"43",69.942,14.697,185.231735229492,172.184524536133,196.675598144531,183.097643683938,175.366500854492,188.95329284668,"CERES",3,-2,73.8503435920267
"44",71.798,12.702,193.616764526367,181.158248901367,201.959609985352,196.384633789062,194.526733398438,198.452789306641,"CERES",-3,-6,74.4912719726562
"45",71.306,13.209,197.237252916609,188.769859313965,209.461654663086,194.900424412319,190.949420928955,199.88304901123,"CERES",-2,-5,73.9437005179269
"46",70.844,13.724,206.365991343623,194.590591430664,214.732574462891,188.174383412237,183.322257995605,193.950996398926,"CERES",-1,-4,73.4966344418733
"47",70.383,14.214,212.13093289462,200.233547210693,226.710582733154,184.107107682662,177.093894958496,189.213832855225,"CERES",0,-3,73.1100002635609
"48",69.942,14.697,205.405466897147,190.375759124756,227.618141174316,189.294657026018,182.465942382812,193.839824676514,"CERES",1,-2,72.6763858795166
"49",69.531,15.197,224.632940063477,195.118499755859,239.630661010742,182.830533447266,176.597351074219,193.424041748047,"CERES",2,-1,72.2741018676758
"50",69.141,15.684,260.530996571416,232.667579650879,288.880218505859,165.17024695355,154.440994262695,175.414573669434,"CERES",3,0,71.8646678095279
"51",70.844,13.724,173.378116954457,165.916984558105,181.122123718262,193.087778264826,188.759231567383,196.332382202148,"CERES",-3,-4,75.7858990755948
"52",70.383,14.214,184.973635586825,180.147727966309,192.385299682617,185.832489013672,181.698020935059,188.759231567383,"CERES",-2,-3,75.4808599298651
