"","time","lwp","cth","trel"
"1",0,NA,NA,-18
"2",4,NA,NA,-17.9988888888889
"3",8,NA,4510,-17.9977777777778
"4",12,NA,4510,-17.9966666666667
"5",16,NA,4510,-17.9955555555556
"6",20,NA,4510,-17.9944444444444
"7",24,NA,4510,-17.9933333333333
"8",28,NA,4510,-17.9922222222222
"9",32,NA,4510,-17.9911111111111
"10",36,NA,4510,-17.99
"11",40,NA,4510,-17.9888888888889
"12",44,NA,4480,-17.9877777777778
"13",48,NA,4480,-17.9866666666667
"14",52,NA,4480,-17.9855555555556
"15",56,NA,4480,-17.9844444444444
"16",60,NA,4480,-17.9833333333333
"17",64,NA,4480,-17.9822222222222
"18",68,NA,4480,-17.9811111111111
"19",72,NA,4510,-17.98
"20",76,NA,4510,-17.9788888888889
"21",80,NA,4510,-17.9777777777778
"22",84,NA,4510,-17.9766666666667
"23",88,NA,4510,-17.9755555555556
"24",92,NA,4510,-17.9744444444444
"25",96,NA,4510,-17.9733333333333
"26",100,NA,4510,-17.9722222222222
"27",104,NA,4510,-17.9711111111111
"28",108,NA,4510,-17.97
"29",112,NA,4510,-17.9688888888889
"30",116,NA,4510,-17.9677777777778
"31",120,NA,4510,-17.9666666666667
"32",124,NA,4510,-17.9655555555556
"33",128,NA,4510,-17.9644444444444
"34",132,NA,4510,-17.9633333333333
"35",136,NA,4510,-17.9622222222222
"36",140,NA,4540,-17.9611111111111
"37",144,NA,4540,-17.96
"38",148,NA,4540,-17.9588888888889
"39",152,NA,4540,-17.9577777777778
"40",156,NA,4510,-17.9566666666667
"41",160,NA,4510,-17.9555555555556
"42",164,NA,4510,-17.9544444444444
"43",168,NA,4510,-17.9533333333333
"44",172,NA,4510,-17.9522222222222
"45",176,NA,4510,-17.9511111111111
"46",180,NA,4510,-17.95
"47",184,NA,4540,-17.9488888888889
"48",188,NA,4540,-17.9477777777778
"49",192,NA,4540,-17.9466666666667
"50",196,NA,4540,-17.9455555555556
"51",200,NA,4540,-17.9444444444444
"52",204,NA,4570,-17.9433333333333
"53",208,NA,4570,-17.9422222222222
"54",212,NA,4570,-17.9411111111111
"55",216,NA,4570,-17.94
"56",220,NA,4570,-17.9388888888889
"57",224,NA,4570,-17.9377777777778
"58",228,NA,4540,-17.9366666666667
"59",232,NA,4540,-17.9355555555556
"60",236,NA,4540,-17.9344444444444
"61",240,NA,4540,-17.9333333333333
"62",244,NA,4570,-17.9322222222222
"63",248,NA,4570,-17.9311111111111
"64",252,NA,4570,-17.93
"65",256,NA,4570,-17.9288888888889
"66",260,NA,4570,-17.9277777777778
"67",264,NA,4570,-17.9266666666667
"68",268,NA,4570,-17.9255555555556
"69",272,NA,4570,-17.9244444444444
"70",276,NA,4570,-17.9233333333333
"71",280,NA,4570,-17.9222222222222
"72",284,NA,4570,-17.9211111111111
"73",288,NA,4570,-17.92
"74",292,NA,4570,-17.9188888888889
"75",296,NA,4570,-17.9177777777778
"76",300,NA,4570,-17.9166666666667
"77",304,NA,4570,-17.9155555555556
"78",308,NA,4570,-17.9144444444444
"79",312,NA,4570,-17.9133333333333
"80",316,NA,4600,-17.9122222222222
"81",320,NA,4600,-17.9111111111111
"82",324,NA,4600,-17.91
"83",328,NA,4600,-17.9088888888889
"84",332,NA,4600,-17.9077777777778
"85",336,NA,4600,-17.9066666666667
"86",340,NA,4600,-17.9055555555556
"87",344,NA,4600,-17.9044444444444
"88",348,NA,4600,-17.9033333333333
"89",352,NA,4600,-17.9022222222222
"90",356,NA,4570,-17.9011111111111
"91",360,NA,4570,-17.9
"92",364,NA,4570,-17.8988888888889
"93",368,NA,4570,-17.8977777777778
"94",372,NA,4570,-17.8966666666667
"95",376,NA,4600,-17.8955555555556
"96",380,NA,4600,-17.8944444444444
"97",384,NA,4600,-17.8933333333333
"98",388,NA,4600,-17.8922222222222
"99",392,21.1043300628662,4600,-17.8911111111111
"100",396,21.1043300628662,4600,-17.89
"101",400,21.1043300628662,4600,-17.8888888888889
"102",404,21.1043300628662,4600,-17.8877777777778
"103",408,21.1043300628662,4600,-17.8866666666667
"104",412,20.120325088501,4600,-17.8855555555556
"105",416,20.120325088501,4600,-17.8844444444444
"106",420,20.120325088501,4600,-17.8833333333333
"107",424,20.120325088501,4600,-17.8822222222222
"108",428,20.120325088501,4600,-17.8811111111111
"109",432,52.8177719116211,4600,-17.88
"110",436,52.8177719116211,4600,-17.8788888888889
"111",440,52.8177719116211,4600,-17.8777777777778
"112",444,52.8177719116211,4600,-17.8766666666667
"113",448,52.8177719116211,4600,-17.8755555555556
"114",452,39.7945022583008,4600,-17.8744444444444
"115",456,39.7945022583008,4600,-17.8733333333333
"116",460,39.7945022583008,4600,-17.8722222222222
"117",464,39.7945022583008,4600,-17.8711111111111
"118",468,39.7945022583008,4600,-17.87
"119",472,15.186110496521,4600,-17.8688888888889
"120",476,15.186110496521,4600,-17.8677777777778
"121",480,15.186110496521,4600,-17.8666666666667
"122",484,15.186110496521,4600,-17.8655555555556
"123",488,15.186110496521,4600,-17.8644444444444
"124",492,57.5167579650879,4600,-17.8633333333333
"125",496,57.5167579650879,4600,-17.8622222222222
"126",500,57.5167579650879,4600,-17.8611111111111
"127",504,57.5167579650879,4600,-17.86
"128",508,57.5167579650879,4600,-17.8588888888889
"129",512,56.467113494873,4600,-17.8577777777778
"130",516,56.467113494873,4600,-17.8566666666667
"131",520,56.467113494873,4600,-17.8555555555556
"132",524,56.467113494873,4600,-17.8544444444444
"133",528,56.467113494873,4600,-17.8533333333333
"134",532,3.46131920814514,4600,-17.8522222222222
"135",536,3.46131920814514,4600,-17.8511111111111
"136",540,3.46131920814514,4600,-17.85
"137",544,3.46131920814514,4600,-17.8488888888889
"138",548,3.46131920814514,4600,-17.8477777777778
"139",552,NA,4600,-17.8466666666667
"140",556,NA,4600,-17.8455555555556
"141",560,NA,4600,-17.8444444444444
"142",564,NA,4630,-17.8433333333333
"143",568,NA,4630,-17.8422222222222
"144",572,NA,4630,-17.8411111111111
"145",576,NA,4630,-17.84
"146",580,NA,4630,-17.8388888888889
"147",584,NA,4600,-17.8377777777778
"148",588,NA,4600,-17.8366666666667
"149",592,NA,4600,-17.8355555555556
"150",596,NA,4600,-17.8344444444444
"151",600,NA,4600,-17.8333333333333
"152",604,56.4533386230469,4600,-17.8322222222222
"153",608,56.4533386230469,4600,-17.8311111111111
"154",612,56.4533386230469,4600,-17.83
"155",616,56.4533386230469,4600,-17.8288888888889
"156",620,56.4533386230469,4600,-17.8277777777778
"157",624,56.4533386230469,4600,-17.8266666666667
"158",628,56.4533386230469,4600,-17.8255555555556
"159",632,112.675422668457,4600,-17.8244444444444
"160",636,112.675422668457,4600,-17.8233333333333
"161",640,112.675422668457,4600,-17.8222222222222
"162",644,112.675422668457,4600,-17.8211111111111
"163",648,112.675422668457,4600,-17.82
"164",652,56.2785911560059,4600,-17.8188888888889
"165",656,56.2785911560059,4600,-17.8177777777778
"166",660,56.2785911560059,4600,-17.8166666666667
"167",664,56.2785911560059,4630,-17.8155555555556
"168",668,56.2785911560059,4630,-17.8144444444444
"169",672,NA,4630,-17.8133333333333
"170",676,NA,4660,-17.8122222222222
"171",680,NA,4660,-17.8111111111111
"172",684,NA,4660,-17.81
"173",688,NA,4660,-17.8088888888889
"174",692,NA,4660,-17.8077777777778
"175",696,NA,4660,-17.8066666666667
"176",700,NA,4660,-17.8055555555556
"177",704,NA,4660,-17.8044444444444
"178",708,NA,4660,-17.8033333333333
"179",712,17.3818855285645,4660,-17.8022222222222
"180",716,17.3818855285645,4660,-17.8011111111111
"181",720,17.3818855285645,4660,-17.8
"182",724,17.3818855285645,4660,-17.7988888888889
"183",728,17.3818855285645,4660,-17.7977777777778
"184",732,17.3818855285645,4660,-17.7966666666667
"185",736,17.3818855285645,4660,-17.7955555555556
"186",740,17.3818855285645,4690,-17.7944444444444
"187",744,NA,4690,-17.7933333333333
"188",748,NA,4690,-17.7922222222222
"189",752,NA,4720,-17.7911111111111
"190",756,NA,4720,-17.79
"191",760,NA,4720,-17.7888888888889
"192",764,NA,4720,-17.7877777777778
"193",768,NA,4720,-17.7866666666667
"194",772,NA,4720,-17.7855555555556
"195",776,NA,4720,-17.7844444444444
"196",780,NA,4720,-17.7833333333333
"197",784,59.3870735168457,4720,-17.7822222222222
"198",788,59.3870735168457,4690,-17.7811111111111
"199",792,59.3870735168457,4690,-17.78
"200",796,59.3870735168457,4690,-17.7788888888889
"201",800,59.3870735168457,4690,-17.7777777777778
"202",804,59.3870735168457,4690,-17.7766666666667
"203",808,59.3870735168457,4690,-17.7755555555556
"204",812,107.345802307129,4690,-17.7744444444444
"205",816,107.345802307129,4720,-17.7733333333333
"206",820,107.345802307129,4720,-17.7722222222222
