"","lwp","lon","lat","time.rel","sat","tdiff"
"1",11.4738513288044,7.066,77.34,-15,"MAC-LWP",-5
"2",38.98264665189,7.55,76.531,-14,"MAC-LWP",-4
"3",46.2100655578432,8.135,75.833,-13,"MAC-LWP",-3
"4",52.7236092439172,8.812,75.19,-12,"MAC-LWP",-2
"5",58.1210598491487,9.519,74.579,-11,"MAC-LWP",-1
"6",55.1747267216812,10.246,73.982,-10,"MAC-LWP",0
"7",48.381492638588,10.929,73.401,-9,"MAC-LWP",1
"8",41.3626439048023,11.563,72.843,-8,"MAC-LWP",2
"9",42.3096396086232,12.163,72.312,-7,"MAC-LWP",3
"10",38.4771908992479,12.702,71.798,-6,"MAC-LWP",4
"11",32.9127264859384,13.209,71.306,-5,"MAC-LWP",5
"12",53.6450125376383,10.246,73.982,-10,"MAC-LWP",5
"13",38.5122038882712,7.55,76.531,-14,"MAC-LWP",-5
"14",42.1316315968831,8.135,75.833,-13,"MAC-LWP",-4
"15",48.256505369026,8.812,75.19,-12,"MAC-LWP",-3
"16",56.2341433158983,9.519,74.579,-11,"MAC-LWP",-2
"17",55.9436172890452,10.246,73.982,-10,"MAC-LWP",-1
"18",52.3484165173222,10.929,73.401,-9,"MAC-LWP",0
"19",47.0565055568044,11.563,72.843,-8,"MAC-LWP",1
"20",45.9158614293443,12.163,72.312,-7,"MAC-LWP",2
"21",43.2751644401793,12.702,71.798,-6,"MAC-LWP",3
"22",37.0095672670164,13.209,71.306,-5,"MAC-LWP",4
"23",33.6829322888301,13.724,70.844,-4,"MAC-LWP",5
"24",46.9797245207287,8.812,75.19,-12,"MAC-LWP",-5
"25",55.6651720319475,9.519,74.579,-11,"MAC-LWP",-4
"26",56.5061892942949,10.246,73.982,-10,"MAC-LWP",-3
"27",57.3029089690633,10.929,73.401,-9,"MAC-LWP",-2
"28",55.7015452434107,11.563,72.843,-8,"MAC-LWP",-1
"29",50.735435128212,12.163,72.312,-7,"MAC-LWP",0
"30",51.1479120815501,12.702,71.798,-6,"MAC-LWP",1
"31",47.306508458179,13.209,71.306,-5,"MAC-LWP",2
