"","lat","lon","lwp","lwp.25","lwp.75","sat","tdiff","time.rel"
"1",75.833,8.135,46.2100655578432,40,50,"MAC-LWP",-3,-13
"2",75.19,8.812,52.7236092439172,40,60,"MAC-LWP",-2,-12
"3",74.579,9.519,58.1210598491487,50,60,"MAC-LWP",-1,-11
"4",73.982,10.246,55.1747267216812,50,60,"MAC-LWP",0,-10
"5",73.401,10.929,48.381492638588,41.2299957275391,53.5199966430664,"MAC-LWP",1,-9
"6",72.843,11.563,41.3626439048023,37.8369979858398,47.8369979858398,"MAC-LWP",2,-8
"7",72.312,12.163,42.3096396086232,38.0529975891113,47.8369979858398,"MAC-LWP",3,-7
"8",75.19,8.812,48.256505369026,40,51.7494306564331,"MAC-LWP",-3,-12
"9",74.579,9.519,56.2341433158983,50,60,"MAC-LWP",-2,-11
"10",73.982,10.246,55.9436172890452,50,60,"MAC-LWP",-1,-10
"11",73.401,10.929,52.3484165173222,43.5200004577637,57.939998626709,"MAC-LWP",0,-9
"12",72.843,11.563,47.0565055568044,39.8527603149414,51.2299957275391,"MAC-LWP",1,-8
"13",72.312,12.163,45.9158614293443,38.2689971923828,49.3044967651367,"MAC-LWP",2,-7
"14",71.798,12.702,43.2751644401793,35.0349960327148,47.8369979858398,"MAC-LWP",3,-6
"15",73.982,10.246,56.5061892942949,50,60,"MAC-LWP",-3,-10
"16",73.401,10.929,57.3029089690633,50,60,"MAC-LWP",-2,-9
"17",72.843,11.563,55.7015452434107,41.2299957275391,64.7694320678711,"MAC-LWP",-1,-8
"18",72.312,12.163,50.735435128212,40.3399963378906,59.019434928894,"MAC-LWP",0,-7
"19",71.798,12.702,51.1479120815501,37.8369979858398,55.1669292449951,"MAC-LWP",1,-6
"20",71.306,13.209,47.306508458179,36.5888252258301,56.9138498306274,"MAC-LWP",2,-5
"21",70.844,13.724,36.6067990503813,20.5719308853149,52.5920162200928,"MAC-LWP",3,-4
"22",71.306,13.209,48.653313536393,41.0100021362305,61.0099945068359,"MAC-LWP",-3,-5
"23",70.844,13.724,43.5328858400646,33.3899993896484,51.0099983215332,"MAC-LWP",-2,-4
"24",70.383,14.214,39.1392874529487,30.3400001525879,44.7867469787598,"MAC-LWP",-1,-3
"25",69.942,14.697,37.1579736976624,23.3899993896484,48.2689971923828,"MAC-LWP",0,-2
"26",69.531,15.197,33.730979494615,20.3399982452393,47.8369979858398,"MAC-LWP",1,-1
"27",69.141,15.684,27.0626350749623,16.2589979171753,31.2589979171753,"MAC-LWP",2,0
"28",72.312,12.163,50.4888114929199,41.2299957275391,57.939998626709,"MAC-LWP",-3,-7
"29",71.798,12.702,50.827103501872,41.2299957275391,63.5200004577637,"MAC-LWP",-2,-6
"30",71.306,13.209,48.653313536393,41.0100021362305,61.0099945068359,"MAC-LWP",-1,-5
"31",70.844,13.724,43.5328858400646,33.3899993896484,51.0099983215332,"MAC-LWP",0,-4
"32",70.383,14.214,39.1392874529487,30.3400001525879,44.7867469787598,"MAC-LWP",1,-3
"33",69.942,14.697,37.1579736976624,23.3899993896484,48.2689971923828,"MAC-LWP",2,-2
"34",69.531,15.197,33.730979494615,20.3399982452393,47.8369979858398,"MAC-LWP",3,-1
"35",72.843,11.563,55.3766455766631,47.9400024414062,63.5200004577637,"MAC-LWP",-3,-8
"36",72.312,12.163,55.061648774147,43.7600021362305,63.5200004577637,"MAC-LWP",-2,-7
"37",71.798,12.702,56.0035848241103,43.7600021362305,63.7599983215332,"MAC-LWP",-1,-6
