# Hour    Lat      Lon
-10.0000 88.32700 18.34200
-9.91667 88.27050 17.64033
-9.83333 88.21400 16.93867
-9.75000 88.15750 16.23700
-9.66667 88.10100 15.53533
-9.58333 88.04450 14.83367
-9.50000 87.98800 14.13200
-9.41667 87.93150 13.43033
-9.33333 87.87500 12.72867
-9.25000 87.81850 12.02700
-9.16667 87.76200 11.32533
-9.08333 87.70550 10.62367
-9.00000 87.64900  9.92200
-8.91667 87.58767  9.57225
-8.83333 87.52633  9.22250
-8.75000 87.46500  8.87275
-8.66667 87.40367  8.52300
-8.58333 87.34233  8.17325
-8.50000 87.28100  7.82350
-8.41667 87.21967  7.47375
-8.33333 87.15833  7.12400
-8.25000 87.09700  6.77425
-8.16667 87.03567  6.42450
-8.08333 86.97433  6.07475
-8.00000 86.91300  5.72500
-7.91667 86.84875  5.55192
-7.83333 86.78450  5.37883
-7.75000 86.72025  5.20575
-7.66667 86.65600  5.03267
-7.58333 86.59175  4.85958
-7.50000 86.52750  4.68650
-7.41667 86.46325  4.51342
-7.33333 86.39900  4.34033
-7.25000 86.33475  4.16725
-7.16667 86.27050  3.99417
-7.08333 86.20625  3.82108
-7.00000 86.14200  3.64800
-6.91667 86.07308  3.57300
-6.83333 86.00417  3.49800
-6.75000 85.93525  3.42300
-6.66667 85.86633  3.34800
-6.58333 85.79742  3.27300
-6.50000 85.72850  3.19800
-6.41667 85.65958  3.12300
-6.33333 85.59067  3.04800
-6.25000 85.52175  2.97300
-6.16667 85.45283  2.89800
-6.08333 85.38392  2.82300
-6.00000 85.31500  2.74800
-5.91667 85.24225  2.72583
-5.83333 85.16950  2.70367
-5.75000 85.09675  2.68150
-5.66667 85.02400  2.65933
-5.58333 84.95125  2.63717
-5.50000 84.87850  2.61500
-5.41667 84.80575  2.59283
-5.33333 84.73300  2.57067
-5.25000 84.66025  2.54850
-5.16667 84.58750  2.52633
-5.08333 84.51475  2.50417
-5.00000 84.44200  2.48200
-4.91667 84.36700  2.50292
-4.83333 84.29200  2.52383
-4.75000 84.21700  2.54475
-4.66667 84.14200  2.56567
-4.58333 84.06700  2.58658
-4.50000 83.99200  2.60750
-4.41667 83.91700  2.62842
-4.33333 83.84200  2.64933
-4.25000 83.76700  2.67025
-4.16667 83.69200  2.69117
-4.08333 83.61700  2.71208
-4.00000 83.54200  2.73300
-3.91667 83.46508  2.77675
-3.83333 83.38817  2.82050
-3.75000 83.31125  2.86425
-3.66667 83.23433  2.90800
-3.58333 83.15742  2.95175
-3.50000 83.08050  2.99550
-3.41667 83.00358  3.03925
-3.33333 82.92667  3.08300
-3.25000 82.84975  3.12675
-3.16667 82.77283  3.17050
-3.08333 82.69592  3.21425
-3.00000 82.61900  3.25800
-2.91667 82.54150  3.30217
-2.83333 82.46400  3.34633
-2.75000 82.38650  3.39050
-2.66667 82.30900  3.43467
-2.58333 82.23150  3.47883
-2.50000 82.15400  3.52300
-2.41667 82.07650  3.56717
-2.33333 81.99900  3.61133
-2.25000 81.92150  3.65550
-2.16667 81.84400  3.69967
-2.08333 81.76650  3.74383
-2.00000 81.68900  3.78800
-1.91667 81.61175  3.83075
-1.83333 81.53450  3.87350
-1.75000 81.45725  3.91625
-1.66667 81.38000  3.95900
-1.58333 81.30275  4.00175
-1.50000 81.22550  4.04450
-1.41667 81.14825  4.08725
-1.33333 81.07100  4.13000
-1.25000 80.99375  4.17275
-1.16667 80.91650  4.21550
-1.08333 80.83925  4.25825
-1.00000 80.76200  4.30100
-0.91667 80.68783  4.34433
-0.83333 80.61367  4.38767
-0.75000 80.53950  4.43100
-0.66667 80.46533  4.47433
-0.58333 80.39117  4.51767
-0.50000 80.31700  4.56100
-0.41667 80.24283  4.60433
-0.33333 80.16867  4.64767
-0.25000 80.09450  4.69100
-0.16667 80.02033  4.73433
-0.08333 79.94617  4.77767
-0.00000 79.87200  4.82100
 0.08333 79.79908  4.85508
 0.16667 79.72617  4.88917
 0.25000 79.65325  4.92325
 0.33333 79.58033  4.95733
 0.41667 79.50742  4.99142
 0.50000 79.43450  5.02550
 0.58333 79.36158  5.05958
 0.66667 79.28867  5.09367
 0.75000 79.21575  5.12775
 0.83333 79.14283  5.16183
 0.91667 79.06992  5.19592
 1.00000 78.99700  5.23000
 1.08333 78.92725  5.26242
 1.16667 78.85750  5.29483
 1.25000 78.78775  5.32725
 1.33333 78.71800  5.35967
 1.41667 78.64825  5.39208
 1.50000 78.57850  5.42450
 1.58333 78.50875  5.45692
 1.66667 78.43900  5.48933
 1.75000 78.36925  5.52175
 1.83333 78.29950  5.55417
 1.91667 78.22975  5.58658
 2.00000 78.16000  5.61900
 2.08333 78.09675  5.67092
 2.16667 78.03350  5.72283
 2.25000 77.97025  5.77475
 2.33333 77.90700  5.82667
 2.41667 77.84375  5.87858
 2.50000 77.78050  5.93050
 2.58333 77.71725  5.98242
 2.66667 77.65400  6.03433
 2.75000 77.59075  6.08625
 2.83333 77.52750  6.13817
 2.91667 77.46425  6.19008
 3.00000 77.40100  6.24200
 3.08333 77.34142  6.31050
 3.16667 77.28183  6.37900
 3.25000 77.22225  6.44750
 3.33333 77.16267  6.51600
 3.41667 77.10308  6.58450
 3.50000 77.04350  6.65300
 3.58333 76.98392  6.72150
 3.66667 76.92433  6.79000
 3.75000 76.86475  6.85850
 3.83333 76.80517  6.92700
 3.91667 76.74558  6.99550
 4.00000 76.68600  7.06400
 4.08333 76.62942  7.13308
 4.16667 76.57283  7.20217
 4.25000 76.51625  7.27125
 4.33333 76.45967  7.34033
 4.41667 76.40308  7.40942
 4.50000 76.34650  7.47850
 4.58333 76.28992  7.54758
 4.66667 76.23333  7.61667
 4.75000 76.17675  7.68575
 4.83333 76.12017  7.75483
 4.91667 76.06358  7.82392
 5.00000 76.00700  7.89300
 5.08333 75.95300  7.95625
 5.16667 75.89900  8.01950
 5.25000 75.84500  8.08275
 5.33333 75.79100  8.14600
 5.41667 75.73700  8.20925
 5.50000 75.68300  8.27250
 5.58333 75.62900  8.33575
 5.66667 75.57500  8.39900
 5.75000 75.52100  8.46225
 5.83333 75.46700  8.52550
 5.91667 75.41300  8.58875
 6.00000 75.35900  8.65200
 6.08333 75.30683  8.71392
 6.16667 75.25467  8.77583
 6.25000 75.20250  8.83775
 6.33333 75.15033  8.89967
 6.41667 75.09817  8.96158
 6.50000 75.04600  9.02350
 6.58333 74.99383  9.08542
 6.66667 74.94167  9.14733
 6.75000 74.88950  9.20925
 6.83333 74.83733  9.27117
 6.91667 74.78517  9.33308
 7.00000 74.73300  9.39500
 7.08333 74.68183  9.45883
 7.16667 74.63067  9.52267
 7.25000 74.57950  9.58650
 7.33333 74.52833  9.65033
 7.41667 74.47717  9.71417
 7.50000 74.42600  9.77800
 7.58333 74.37483  9.84183
 7.66667 74.32367  9.90567
 7.75000 74.27250  9.96950
 7.83333 74.22133 10.03333
 7.91667 74.17017 10.09717
 8.00000 74.11900 10.16100
 8.08333 74.06925 10.22033
 8.16667 74.01950 10.27967
 8.25000 73.96975 10.33900
 8.33333 73.92000 10.39833
 8.41667 73.87025 10.45767
 8.50000 73.82050 10.51700
 8.58333 73.77075 10.57633
 8.66667 73.72100 10.63567
 8.75000 73.67125 10.69500
 8.83333 73.62150 10.75433
 8.91667 73.57175 10.81367
 9.00000 73.52200 10.87300
 9.08333 73.47408 10.92642
 9.16667 73.42617 10.97983
 9.25000 73.37825 11.03325
 9.33333 73.33033 11.08667
 9.41667 73.28242 11.14008
 9.50000 73.23450 11.19350
 9.58333 73.18658 11.24692
 9.66667 73.13867 11.30033
 9.75000 73.09075 11.35375
 9.83333 73.04283 11.40717
 9.91667 72.99492 11.46058
10.00000 72.94700 11.51400
10.08333 72.90142 11.56417
10.16667 72.85583 11.61433
10.25000 72.81025 11.66450
10.33333 72.76467 11.71467
10.41667 72.71908 11.76483
10.50000 72.67350 11.81500
10.58333 72.62792 11.86517
10.66667 72.58233 11.91533
10.75000 72.53675 11.96550
10.83333 72.49117 12.01567
10.91667 72.44558 12.06583
11.00000 72.40000 12.11600
11.08333 72.35583 12.16317
11.16667 72.31167 12.21033
11.25000 72.26750 12.25750
11.33333 72.22333 12.30467
11.41667 72.17917 12.35183
11.50000 72.13500 12.39900
11.58333 72.09083 12.44617
11.66667 72.04667 12.49333
11.75000 72.00250 12.54050
11.83333 71.95833 12.58767
11.91667 71.91417 12.63483
12.00000 71.87000 12.68200
12.08333 71.82800 12.72508
12.16667 71.78600 12.76817
12.25000 71.74400 12.81125
12.33333 71.70200 12.85433
12.41667 71.66000 12.89742
12.50000 71.61800 12.94050
12.58333 71.57600 12.98358
12.66667 71.53400 13.02667
12.75000 71.49200 13.06975
12.83333 71.45000 13.11283
12.91667 71.40800 13.15592
13.00000 71.36600 13.19900
13.08333 71.32667 13.24167
13.16667 71.28733 13.28433
13.25000 71.24800 13.32700
13.33333 71.20867 13.36967
13.41667 71.16933 13.41233
13.50000 71.13000 13.45500
13.58333 71.09067 13.49767
13.66667 71.05133 13.54033
13.75000 71.01200 13.58300
13.83333 70.97267 13.62567
13.91667 70.93333 13.66833
14.00000 70.89400 13.71100
14.08333 70.85442 13.75167
14.16667 70.81483 13.79233
14.25000 70.77525 13.83300
14.33333 70.73567 13.87367
